,Accuracy,Precision,Recall,F1,MCC,AUC
Logistic Regression,0.8278826961461692,0.8171600177000612,0.8278826961461692,0.8133558472046557,0.4805933320267032,0.860793473102082
Decision Tree,0.8542914171656687,0.8477281597749617,0.8542914171656687,0.8479204439374791,0.5766297731436332,0.8908909999793647
kNN,0.8340242591739597,0.8293834928253452,0.8340242591739597,0.8312002364969785,0.5322412367720927,0.8569428251583748
Naive Bayes,0.8080761553815446,0.7937905894544239,0.8080761553815446,0.782859919050726,0.3994027058549768,0.8643833443387468
Random Forest (Ensemble),0.8619683709504069,0.8573272275265714,0.8619683709504069,0.8524210460148947,0.5932567295494973,0.9195680547244176
XGBoost (Ensemble),0.8721019499462613,0.868139735991069,0.8721019499462613,0.8690983709564394,0.63696760442732,0.9295000748024184
